Taxonomy,Concept,Unit,Value,Start,End,Accession,Fiscal Year,Fiscal Period,Form,Filed Date,Frame
us-gaap,ComprehensiveIncomeNetOfTax,USD,23858000000.0,2023-10-01,2023-12-31,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,CY2023Q4
us-gaap,ComprehensiveIncomeNetOfTax,USD,67008000000.0,2023-07-01,2024-03-31,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,
us-gaap,ComprehensiveIncomeNetOfTax,USD,21453000000.0,2024-01-01,2024-03-31,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,CY2024Q1
us-gaap,ContractWithCustomerLiability,USD,53813000000.0,,2023-06-30,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,
us-gaap,ContractWithCustomerLiability,USD,53813000000.0,,2023-06-30,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,
us-gaap,ContractWithCustomerLiability,USD,46034000000.0,,2023-12-31,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,CY2023Q4I
us-gaap,ContractWithCustomerLiability,USD,44833000000.0,,2024-03-31,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,CY2024Q1I
us-gaap,ContractWithCustomerLiabilityCurrent,USD,50901000000.0,,2023-06-30,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,
us-gaap,ContractWithCustomerLiabilityCurrent,USD,50901000000.0,,2023-06-30,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,
us-gaap,ContractWithCustomerLiabilityCurrent,USD,43068000000.0,,2023-12-31,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,CY2023Q4I
us-gaap,ContractWithCustomerLiabilityCurrent,USD,41888000000.0,,2024-03-31,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,CY2024Q1I
us-gaap,ContractWithCustomerLiabilityNoncurrent,USD,2912000000.0,,2023-06-30,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,
us-gaap,ContractWithCustomerLiabilityNoncurrent,USD,2912000000.0,,2023-06-30,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,
us-gaap,ContractWithCustomerLiabilityNoncurrent,USD,2966000000.0,,2023-12-31,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,CY2023Q4I
us-gaap,ContractWithCustomerLiabilityNoncurrent,USD,2945000000.0,,2024-03-31,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,CY2024Q1I
us-gaap,CostOfGoodsAndServicesSold,USD,32940000000.0,2022-07-01,2022-12-31,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,
us-gaap,CostOfGoodsAndServicesSold,USD,17488000000.0,2022-10-01,2022-12-31,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,CY2022Q4
us-gaap,CostOfGoodsAndServicesSold,USD,49068000000.0,2022-07-01,2023-03-31,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,
us-gaap,CostOfGoodsAndServicesSold,USD,16128000000.0,2023-01-01,2023-03-31,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,CY2023Q1
us-gaap,CostOfGoodsAndServicesSold,USD,35925000000.0,2023-07-01,2023-12-31,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,
us-gaap,CostOfGoodsAndServicesSold,USD,19623000000.0,2023-10-01,2023-12-31,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,CY2023Q4
us-gaap,CostOfGoodsAndServicesSold,USD,54430000000.0,2023-07-01,2024-03-31,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,
us-gaap,CostOfGoodsAndServicesSold,USD,18505000000.0,2024-01-01,2024-03-31,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,CY2024Q1
us-gaap,DebtInstrumentCarryingAmount,USD,52866000000.0,,2023-06-30,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,
us-gaap,DebtInstrumentCarryingAmount,USD,52866000000.0,,2023-06-30,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,
us-gaap,DebtInstrumentCarryingAmount,USD,53548000000.0,,2023-12-31,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,CY2023Q4I
us-gaap,DebtInstrumentCarryingAmount,USD,51241000000.0,,2024-03-31,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,CY2024Q1I
us-gaap,DebtInstrumentUnamortizedDiscountPremiumAndDebtIssuanceCostsNet,USD,438000000.0,,2023-06-30,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,
